地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 巴基斯坦'],['Ahsan Rahim'],['155'],['07'],"['阿里·札法', 'Maya Ali', 'Mehmood Aslam']",['蒂法有麻烦了 Teefa in Trouble'],"['喜剧', '动作', '犯罪']",[''],[],[' 乌尔都语']
[' 巴基斯坦'],['Nabeel Qureshi'],['135'],['08'],"['Fahad Mustafa', 'Mehwish Hayat']",['加载婚礼 Load Wedding'],"['喜剧', '爱情', '歌舞']",[''],[],[' 乌尔都语']
[' 巴基斯坦'],['Haseeb Hasan'],[],['05'],"['Hamza Ali Abbasi', 'Ahad Raza Mir', 'Shaz Khan']",['帕瓦兹·海·尤宁 Parwaaz Hay Junoon'],"['剧情', '战争']",[''],[],[' 乌尔都语']
[' 英国 / 巴基斯坦'],['Asim Abbasi'],['125'],['03'],"['Aamina Sheikh', 'Sanam Saeed', 'Mohammad Ahmad', 'Adnan Malik', 'Beo Raana Zafar', 'Faris Khalid', 'Hira Hussain', ""Bob D'Erlanger""]",['蛋糕 کیک'],"['剧情', '爱情', '悬疑']",[''],[],[' 乌尔都语']
[' 巴基斯坦'],['Aziz Jindani'],[],['10'],"['Sahiba Afzal', 'Shafaat Ali', 'Vasay Chaudhry']",['驴王 The Donkey King'],"['喜剧', '动画']",[''],[],[' 印地语']
