,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
11,[' 美国'],['罗阿尔·乌索格'],['2018'],['118'],"['艾丽西亚·维坎德', '多米尼克·威斯特', '沃尔顿·戈金斯', '吴彦祖', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']",['古墓丽影：源起之战 Tomb Raider'],"['动作', '冒险']",['6.0'],['118909'],[' 英语']
18,[' 美国'],['朱浩伟'],['2018'],['121'],"['吴恬敏', '亨利·戈尔丁', '杨紫琼', '嘉玛·陈', '奥卡菲娜', '卢燕', '岑勇康', '郑肯', '水野索诺娅', '吴育刚', '欧阳万成', '钱信伊', '瑞米·海依', '尼科·桑托斯', '陆思敬', '苏慧敏', '方展发', '谢宛谕', '维多利亚·洛克', '许优美', '郑花如', '许静雯', '卡尔文·王', '陈琼华', '刘佳镁', '陈美廪', '内万·科伊特', '阿曼达·埃文斯', '彼得·霍奇森', '安德斯·塔格', '丹尼尔·詹金斯', '彼得·卡罗尔', '黛博拉·杨', '查尔斯·格朗斯', '杰西卡·加莱蒂', 'Swee Huat Teo', '罗尼·纪', 'Isaac Boon Chuon Lee', '罗杰·谢克', 'Lee Zhi Jian', 'Lee Jun Wen', '拉塞尔·黄', '马尔库斯·莫', '杰瑞卡·黎', '乔·翁', '陈胤希', '德尔菲诺润二', 'Beatrice Chein', 'Tan En Yu', 'Tan En Dong', '姬丝·阿奎诺', 'Lucinda Lew', '黄苏珊', 'Tumurbaatar Enkhtungalag', '木下众平', '吉娜·格莱尼斯', '凯文·关', '斯蒂芬妮·欧阳', 'Leong Chun Chong', 'Ho Yan Xi', '兰斯·埃明格', '卡兰比尔·亨达尔', '斯蒂芬·杰克', '纪宝珠']",['摘金奇缘 Crazy Rich Asians'],"['喜剧', '爱情']",['6.1'],['77606'],[' 英语 / 汉语普通话 / 粤语']
72,[' 美国'],['杰夫·瓦德洛'],['2018'],['100'],"['露西·海尔', '泰勒·珀西', '维奥莱特·比恩', '司徒颂曦', '索菲娅·阿里', '诺兰·杰拉德·冯克', '兰登·莱伯隆', '山姆·勒纳', '汤姆·蔡', '奥罗拉·佩里纽', '格雷格·丹尼尔', '布莱德利·史密斯', '维拉·泰勒', '埃兹·加西亚', '安德鲁·霍华德', '奥马尔·莱瓦', '莱斯莉·斯特拉顿', '查森·班克斯', '玛茜·简', '亚历山大·罗伯茨', '艾莉·劳弗', '摩根·林霍尔姆', '鲁本·加菲亚斯', '布拉德利·斯内德克', '蒂姆·内夫', '乔·奥克曼', '塞拉·希乌尔曼', '多米尼克·韦德']",['真心话大冒险 Truth or Dare'],"['惊悚', '恐怖']",['6.1'],['6765'],[' 英语']
69,[' 美国'],['贾斯汀·凯利'],['2018'],['105'],"['克里斯汀·斯图尔特', '黛安·克鲁格', '劳拉·邓恩', '吉姆·斯特吉斯', '科特妮·洛芙', '小凯文·哈里森', '詹姆斯·贾格尔', '艾丽西亚·约翰斯顿', '大卫·劳伦斯·布朗', '威尔·沃伊托维希', '克雷格·哈斯', '吉姆·科比', '洛丽·帕帕佐普洛斯', '德里克·詹姆斯·特拉普']",['JT·莱罗伊 JT Leroy'],"['剧情', '传记']",['6.2'],['468'],[' 英语']
65,[' 美国'],['菲力斯·范·古宁根'],['2018'],['120'],"['史蒂夫·卡瑞尔', '蒂莫西·柴勒梅德', '毛拉·蒂尔内', '克里斯蒂安·康佛瑞', '凯特琳·德弗', '艾米·莱安', '斯戴芬妮·斯考特', '朱利安·沃克斯', '杰克·迪伦·格雷泽', '艾米·福赛思', '安德烈·罗佑 ', '曼迪娅·弗罗里', '蒂莫西·赫顿', '爱德华德·弗莱彻', '丽莎·盖伊·汉密尔顿', '迈克尔·帕特里克·麦克吉尔', '汤姆·蔡', '山姆·狄龙', '埃米·阿奎诺', '汤姆·贝耶', '朱利安·克鲁瑟', '约翰·洛巴托', '安东尼·斯诺', '艾蒂安·维克', '大卫·门登霍尔', 'Oakley Bull', 'Kue Lawrence', 'Ricky Low', 'Mary Pat Farrell', '杰夫·阿德勒', 'Sasha Kelly Jackson', 'Carlton Wilborn', 'Nikki Snipper', 'Martha T. Newman', 'Brooklin Thacher', 'Frederick Lawrence', 'Anastasia Leddick', 'Minerva García', 'Seann Gallagher', '罗德尼·J·霍布斯']",['漂亮男孩 Beautiful Boy'],['剧情'],['6.2'],['7452'],[' 英语']
9,[' 美国'],['约翰·卡拉辛斯基'],['2018'],['90'],"['艾米莉·布朗特', '约翰·卡拉辛斯基', '米利森特·西蒙兹', '诺亚·尤佩', '凯德·伍德沃德', '里昂·拉瑟姆', '桃乐丝·麦卡锡']",['寂静之地 A Quiet Place'],"['惊悚', '恐怖']",['6.3'],['198949'],[' 美国手语 / 英语']
8,[' 美国'],['罗森·马歇尔·瑟伯'],['2018'],['102'],"['道恩·强森', '内芙·坎贝尔', '黄经汉', '罗兰·默勒', '麦肯纳·罗伯茨', '诺亚·科特雷尔', '诺亚·泰勒', '巴勃罗·施瑞博尔', '凯文·兰金', '昆凌', '文峰', '马特·欧莱瑞', '比特里斯·金', '马志', '保罗·麦克吉莱恩', '吴嘉星', '艾德里安·霍姆斯', '维努斯·特雷佐', '杰特·克莱恩', '拜伦·劳森', '关永扬', '法比欧·塔索恩', '卡洛·余']",['摩天营救 Skyscraper'],"['动作', '惊悚', '冒险']",['6.3'],['127087'],[' 英语 / 粤语 / 汉语普通话']
48,[' 美国'],['弗朗西斯·劳伦斯'],['2018'],['140'],"['詹妮弗·劳伦斯', '乔尔·埃哲顿', '马提亚斯·修奈尔', '夏洛特·兰普林', '玛丽·露易斯·帕克', '塞伦·希德', '乔莉·理查德森', '比尔·坎普', '杰瑞米·艾恩斯', '斯科拉·鲁特', '道格拉斯·霍奇斯', '沙基纳·贾弗里', '谢尔盖·波卢宁', '萨沙·弗若洛娃', '塞巴斯蒂安·胡克']",['红雀 Red Sparrow'],"['剧情', '悬疑', '惊悚']",['6.3'],['32622'],[' 英语 / 俄语']
13,[' 美国'],['布拉德·佩顿'],['2018'],['107'],"['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']",['狂暴巨兽 Rampage'],"['动作', '科幻', '冒险']",['6.4'],['116255'],[' 英语']
28,[' 美国'],['查尔斯·斯通三世'],['2018'],['103'],"['凯里·欧文', '里尔·莱尔·哈瓦瑞', '沙奎尔·奥尼尔', '克里斯·韦伯', '雷吉·米勒', '内特·罗宾逊', '丽萨·莱斯利', '埃丽卡·阿什', '蒂凡尼·哈迪斯', '尼克·克罗尔', '迈克·艾普斯', 'J·B·斯穆夫', '亚当·拉扎尔-怀特', '比尔·沃尔顿', '乔治·格文', '史蒂夫·纳什', '迪肯贝·穆托姆博', '宁宁·利克斯', '特伦斯·罗斯摩尔', '德韦恩·博伊德', '以利亚·埃弗雷特', '盖奇·劳森']",['德鲁大叔 Uncle Drew'],"['喜剧', '运动']",['6.4'],['18787'],[' 英语']
