,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
0,[' 日本 / 中国大陆'],"['李豪凌', '易小星', '竹内良贵']",['2018'],['74'],"['坂泰斗', '寿美菜子', '白石晴香', '安元洋贵', '大冢刚央', '长谷川育美', '白客', '彭师欣', '唐雅菁', '陈颖晖', '梁达伟', '林美玉']",['肆式青春 詩季織々'],['动画'],['5.6'],['17118'],[' 汉语普通话 / 日语 / 粤语 / 上海话']
1,[' 日本 / 法国'],['滨口龙介'],['2018'],['119'],"['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['11297'],[' 日语']
