地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['188'],"['05', '06']","['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8484'],[' 土耳其语']
[' 马其顿 / 塞尔维亚 / 斯洛文尼亚 / 科索沃'],['弗拉基米尔·布拉热夫斯基'],['112'],['04'],"['Igor Angelov', 'Bereda Reshit', 'Marija Kohn', 'Faik Mefailoski', 'Elena Trajkovska', 'Peter Elliot', 'Çun Lajçi', 'Refet Abazi', 'Tanja Kocovska', 'Aleksandar Kamnaroski', 'Mitko Apostolovski', 'Grigor Jovanovski', 'Kiril Gravcev', 'Ratka Radmanovic', 'Blagoj Veselinov']",['笼子 Година на мајмунот'],"['喜剧', '奇幻']",[''],[],[' 马其顿语 / 阿尔巴尼亚语 / 塞尔维亚克罗地亚语 / 保加利亚语 / 英语']
[' 乌克兰 / 波兰 / 马其顿'],['Marysia Nikitiuk'],[],['02'],"['Alla Samoilenko', 'Maksym Samchik', 'Anastasiia Pustovit']",['当树倒下 Koly padayut dereva'],[],[''],[],[]
[' 马来西亚 / 日本 / 马其顿'],['林家威'],['90'],['11'],[],"['No Where, Now Here']",[],[''],[],[]
[' 格鲁吉亚 / 马其顿'],['Grigol Abashidze'],[],['08'],"['Tornike Gogrichiani', 'Ia Sukhitashvili', 'Tornike Gogrichiani, Ia Sukhitashvili, Nino Koridze,']",['邻居 მეზობლები'],['剧情'],[''],[],[' 格鲁吉亚语']
[' 瑞士 / 马其顿 / 爱尔兰'],['Mitko Panov'],['113'],['11'],"['布鲁诺·甘茨', 'Natasha Petrovic', '帕德莱克·德兰尼', 'Mirsad Ibisevic', 'Refet Abazi', 'Mitko Apostolovski', 'Rok Cvetkov', 'Simeon Moni Damevski', '埃米尔·哈齐哈夫茨比哥维奇', '玛尔特·克勒尔', '尼克·李', '维利贝·托皮奇']",['证人 The Witness'],"['剧情', '动作']",[''],[],[' 英语 / 塞尔维亚克罗地亚语']
[' 德国 / 马其顿'],"['基达·拉马丹', 'Til Obladen']",['82'],[],"['Kida Ramadan', '伯勒尔·戴斯托捏', '弗雷德里克·劳']",['KANUN'],[],[''],[],[]
[' 马其顿'],['Jani Bojadzi'],[],[],[],['Ruganje so hristos'],[],[''],[],[]
