,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
2,[' 丹麦 / 德国'],['克里斯托弗·鲍伊'],['2018'],['119'],"['尼古拉·雷·卡斯', '法瑞斯·法瑞斯', '约翰妮·路易斯·施密特', '索伦·比尔马克', '范妮·博内代尔', '克拉拉·罗萨杰', '路易斯·斯科夫', '阿曼达·拉德里亚克', '安德斯·霍夫', '尼可拉斯·布若', '埃利奥特·克罗赛特·霍夫', '碧尔特·诺伊曼', '迈克尔·布罗斯楚普', '玛丽安·霍格斯布罗', '薇比珂·哈斯特伦', '特赖恩·帕里森', '纳斯塔加·阿尔赛', '亨里克·韦斯特加德·尼尔森', '拉多·哈季奇', '安德斯·布林克·马德森', '旺达·佩德尔维茨']",['64号病历 Journal 64'],"['悬疑', '惊悚', '犯罪']",['7.2'],['5372'],[' 丹麦语 / 西班牙语 / 阿拉伯语']
0,[' 美国 / 德国'],['韦斯·安德森'],['2018'],['97'],"['布莱恩·科兰斯顿', '爱德华·诺顿', '科宇·兰金', '列维·施瑞博尔', '比尔·默瑞', '杰夫·高布伦', '鲍勃·巴拉班', '野村训市', '格蕾塔·葛韦格', '斯嘉丽·约翰逊', '蒂尔达·斯文顿', '弗兰西斯·麦克多蒙德', '罗曼·科波拉', '卡拉·海沃德', '高山明', '伊藤晃', '哈威·凯特尔', 'F·默里·亚伯拉罕', '小野洋子', '渡边谦', '夏木真理', '费舍·史蒂芬斯', '村上虹郎', '考特尼·万斯', '安杰丽卡·休斯顿', '野田洋次郎', '山田孝之', '秋元梢', '松田翔太', '松田龙平', '池田依来沙', '杰克·莱恩', '育乃介', '儿玉太智', '卡琳·奥克索', '弗兰克·伍德', '爱德华·博奇']",['犬之岛 Isle of Dogs'],"['喜剧', '动画', '冒险']",['8.3'],['165439'],[' 英语 / 日语']
1,[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['2018'],['127'],"['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['58828'],[' 意大利语']
