,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
0,[' 美国'],['查尔斯·斯通三世'],['2018'],['103'],"['凯里·欧文', '里尔·莱尔·哈瓦瑞', '沙奎尔·奥尼尔', '克里斯·韦伯', '雷吉·米勒', '内特·罗宾逊', '丽萨·莱斯利', '埃丽卡·阿什', '蒂凡尼·哈迪斯', '尼克·克罗尔', '迈克·艾普斯', 'J·B·斯穆夫', '亚当·拉扎尔-怀特', '比尔·沃尔顿', '乔治·格文', '史蒂夫·纳什', '迪肯贝·穆托姆博', '宁宁·利克斯', '特伦斯·罗斯摩尔', '德韦恩·博伊德', '以利亚·埃弗雷特', '盖奇·劳森']",['德鲁大叔 Uncle Drew'],"['喜剧', '运动']",['6.4'],['18787'],[' 英语']
2,[' 俄罗斯'],['奥列格·特罗费姆'],['2018'],['113'],"['阿格拉娅·塔拉索娃', '亚历山大·佩特罗夫', '米洛斯·比柯维奇', '玛丽亚·阿龙诺娃', '瑟妮娅·拉芙洛娃-格林卡', '彦·萨普尼克', '克谢尼娅·拉波波尔特', '维伦·巴比切夫', '帕维尔·迈科夫', '伊琳娜·斯达申鲍姆']",['花滑女王 Лёд'],"['剧情', '爱情', '运动']",['6.8'],['14159'],[' 俄语']
3,[' 马来西亚'],['马逸腾'],['2018'],['110'],"['李国煌', '杨雁雁', '拿督·罗斯彦·诺', '黄炜杰', '曾冠源', '李宗伟', '阿什利·华']",['李宗伟：败者为王 Lee Chong Wei'],"['剧情', '传记', '运动']",['6.9'],['6050'],[' 闽南语 / 汉语普通话 / 马来语']
1,[' 美国'],['小斯蒂芬·卡普尔'],['2018'],['130'],"['迈克尔·B·乔丹', '西尔维斯特·史泰龙', '泰莎·汤普森', '杜夫·龙格尔', '弗罗里安·穆特鲁', '布里吉特·尼尔森', '罗素·霍恩斯比', '伍德·哈里斯', '米洛·文堤米利亚', '菲利西亚·拉斯海德', '迈克尔·巴佛', '安德烈·沃德', '迈尔斯·哈姆帕斯', '伊沃·南迪', '克里斯托弗·曼恩']",['奎迪：英雄再起 Creed II'],"['剧情', '运动']",['7.1'],['16705'],[' 英语']
4,[' 俄罗斯'],['丹尼拉·科兹洛夫斯基'],['2018'],['137'],"['丹尼拉·科兹洛夫斯基', '伊琳娜·戈尔巴乔娃', '安德烈·斯莫利亚科夫', '奥莉亚·祖耶娃', '弗拉基米尔·伊利因', '维伦·巴比切夫', '维克多·维尔比斯基', '维塔利亚·安德烈夫']",['最后一球 Тренер'],"['剧情', '运动']",['7.5'],['5826'],[' 俄语']
