,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
4,[' 中国大陆'],['岩井俊二'],['2018'],['114'],"['周迅', '秦昊', '杜江', '张子枫', '邓恩熙', '边天扬', '吴彦姝', '谭卓', '胡歌', '胡昌霖', '李春明', '穆龙', '刘靖宇', '高炳然', '白素娟', '刘思博', '常海波', '李勇', '刘笑语', '赵芙丽', '建圳', '郭德诚', '王靖宇', '孙萍', '李泽宇', '仇硕康', '艺涵', '李昊芳', '王子璇', '王远达', '于建波', '张俊宇']",['你好，之华'],"['剧情', '爱情']",['6.7'],['186064'],[' 汉语普通话']
22,[' 俄罗斯'],['奥列格·特罗费姆'],['2018'],['113'],"['阿格拉娅·塔拉索娃', '亚历山大·佩特罗夫', '米洛斯·比柯维奇', '玛丽亚·阿龙诺娃', '瑟妮娅·拉芙洛娃-格林卡', '彦·萨普尼克', '克谢尼娅·拉波波尔特', '维伦·巴比切夫', '帕维尔·迈科夫', '伊琳娜·斯达申鲍姆']",['花滑女王 Лёд'],"['剧情', '爱情', '运动']",['6.8'],['14159'],[' 俄语']
6,[' 中国大陆 / 法国'],['毕赣'],['2018'],['138'],"['汤唯', '黄觉', '张艾嘉', '李鸿其', '陈永忠', '罗飞扬', '曾美慧孜', '段钧豪', '谢理循', '齐溪', '明道', '龙泽治']",['地球最后的夜晚'],"['剧情', '爱情', '悬疑']",['6.8'],['153652'],[' 贵州方言 / 汉语普通话']
1,[' 中国大陆'],['苏伦'],['2018'],['101'],"['雷佳音', '佟丽娅', '张衣', '于和伟', '王正佳', '陶虹', '李念', '李光洁', '杨玏', '范明', '徐峥', '杨迪', '方龄', '陈昊']",['超时空同居'],"['喜剧', '爱情', '奇幻']",['6.9'],['367159'],[' 汉语普通话']
17,[' 英国 / 美国'],['欧·帕克'],['2018'],['114'],"['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']",['妈妈咪呀2 Mamma Mia! Here We Go Again'],"['喜剧', '爱情', '歌舞']",['7.0'],['19329'],[' 英语 / 法语 / 希腊语']
23,[' 美国'],['塞巴斯蒂安·莱里奥'],['2018'],['102'],"['朱丽安·摩尔', '约翰·特托罗', '迈克尔·塞拉', '西恩·奥斯汀', '布拉德·加内特', '阿兰娜·乌巴赫', '珍妮·特里普里霍恩', '霍兰德·泰勒', '丽塔·威尔逊', '卡西·汤普森', '克里斯·马尔基', '凯伦·皮斯托里斯', '泰森·里特', '珍妮卡·贝尔格雷', '巴巴拉·苏科瓦', '桑德拉·罗斯科', '南希·德马尔斯', '巴尔巴拉·斯科拉罗', '杰西·欧文', '科琳娜·哈尼', '克里斯托弗·艾伯', '托马斯·詹姆斯·凯普纳']",['葛洛利亚·贝尔 Gloria Bell'],"['剧情', '爱情']",['7.1'],['1225'],[' 英语']
7,[' 美国'],['布莱德利·库珀'],['2018'],['135'],"['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']",['一个明星的诞生 A Star Is Born'],"['剧情', '爱情', '音乐']",['7.2'],['71528'],[' 英语']
20,[' 韩国'],['李锡根'],['2018'],['110'],"['金英光', '朴宝英', '姜其永', '高圭弼', '张成范', '金贤淑', '林炯俊', '姜德重', '徐恩秀', '宋再临', '申素率', '郑多媛', '车烨', '裴海善', '全裴修', '徐胤雅']",['你的婚礼 너의 결혼식'],"['剧情', '爱情']",['7.2'],['15881'],[' 韩语']
29,[' 台湾'],['蔡宓洁'],['2018'],['83'],"['许光汉', '姚爱宁', '林意箴']",['海吉拉'],"['剧情', '爱情']",['7.3'],['6323'],[' 汉语普通话']
21,[' 日本 / 法国'],['滨口龙介'],['2018'],['119'],"['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['11297'],[' 日语']
12,[' 日本'],['三宅唱'],['2018'],['106'],"['柄本佑', '染谷将太', '石桥静河', '足立智充', '山本亚依']",['你的鸟儿会唱歌 きみの鳥はうたえる'],"['剧情', '爱情']",['7.6'],['5342'],[' 日语']
0,[' 中国大陆'],['李芳芳'],['2018'],['138'],"['章子怡', '黄晓明', '张震', '王力宏', '陈楚生', '铁政', '祖峰', '米雪', '王盛德', '韩童生', '王鑫', '郑铮', '章泽天', '黄梦莹', '林美秀', '保罗·菲利普·克拉克', '胡家华', '伊娜', '吴谨言', '纪帅', '王天泽', '伍麟凯', '都金翰']",['无问西东'],"['剧情', '爱情', '战争']",['7.6'],['495272'],[' 汉语普通话']
18,[' 波兰 / 法国 / 英国'],['帕维乌·帕夫利科夫斯基'],['2018'],['88'],"['尤安娜·库里克', '托马斯·科特', '波利斯·席克', '阿伽塔·库莱沙', '塞德里克·康', '让娜·巴利巴尔', '亚当·费仁希', '亚当·沃诺维茨', '亚当·斯齐斯科斯基']",['冷战 Zimna wojna'],"['剧情', '爱情', '音乐']",['7.8'],['19566'],[' 波兰语 / 法语 / 德语 / 克罗地亚语 / 意大利语 / 俄语']
19,[' 法国'],['克里斯托夫·奥诺雷'],['2018'],['132'],"['文森特·拉科斯特', '皮埃尔·德隆尚', '德尼·波达利德斯', '阿黛尔·维斯梅思', '托马斯·冈萨雷斯', '克莱蒙·梅特耶', '昆廷·蒂博', '特里斯坦·法尔热', '索菲·勒图讷尔', '马莱娜·索尔达纳', '卢卡·马林诺夫斯基', '埃里克·维涅尔', '罗曼·施耐纳']","['喜欢，轻吻，快跑 Plaire, aimer et courir vite']","['剧情', '爱情', '同性']",['7.8'],['14311'],[' 法语']
16,[' 韩国'],['李章焄'],['2018'],['132'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55326'],[' 韩语']
