,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
19,[' 美国'],"['拉斯·霍尔斯道姆', '乔·庄斯顿']",['2018'],['99'],"['麦肯吉·弗依', '摩根·弗里曼', '凯拉·奈特莉', '马修·麦克费登', '海伦·米伦', '艾丽·巴姆博', '米兰达·哈特', '欧赫尼奥·德尔维斯', '杰克·怀特霍尔', '理查德·E·格兰特', '谢尔盖·波卢宁', '欧米德·吉亚李利', '梅拉·沙尔', '尼克·穆罕默德', '杰茜·维宁', '汤姆·斯威特', '马里安·洛伦西克', '芙洛·费拉科', '丽塔-麦克唐纳丹帕', '查尔斯·斯特里特']",['胡桃夹子和四个王国 The Nutcracker And The Four Realms'],"['奇幻', '冒险']",['6.0'],['52350'],[' 英语']
18,[' 美国'],['罗阿尔·乌索格'],['2018'],['118'],"['艾丽西亚·维坎德', '多米尼克·威斯特', '沃尔顿·戈金斯', '吴彦祖', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']",['古墓丽影：源起之战 Tomb Raider'],"['动作', '冒险']",['6.0'],['118909'],[' 英语']
45,[' 英国 / 法国 / 美国'],['尼克·帕克'],['2018'],['89'],"['汤姆·希德勒斯顿', '埃迪·雷德梅恩', '麦茜·威廉姆斯', '蒂莫西·斯波', '理查德·艾欧阿德', '马克·威廉姆斯', '尼克·帕克', '米瑞安·玛格莱斯', '罗伯·布莱顿', '约翰尼·维加斯', '凯万·诺瓦克', '瑟莉娜·格里菲斯', '西蒙·格林诺', '吉娜·亚谢尔', '卢克·沃尔顿', '凯文·马塔迪恩', '理查德·韦伯']",['无敌原始人 Early Man'],"['喜剧', '动画', '冒险']",['6.2'],['5010'],[' 英语']
14,[' 美国'],['罗森·马歇尔·瑟伯'],['2018'],['102'],"['道恩·强森', '内芙·坎贝尔', '黄经汉', '罗兰·默勒', '麦肯纳·罗伯茨', '诺亚·科特雷尔', '诺亚·泰勒', '巴勃罗·施瑞博尔', '凯文·兰金', '昆凌', '文峰', '马特·欧莱瑞', '比特里斯·金', '马志', '保罗·麦克吉莱恩', '吴嘉星', '艾德里安·霍姆斯', '维努斯·特雷佐', '杰特·克莱恩', '拜伦·劳森', '关永扬', '法比欧·塔索恩', '卡洛·余']",['摩天营救 Skyscraper'],"['动作', '惊悚', '冒险']",['6.3'],['127087'],[' 英语 / 粤语 / 汉语普通话']
16,[' 法国 / 美国 / 英国'],['大卫·科尔'],['2018'],['89'],"['罗温·艾金森', '本·米勒', '欧嘉·柯瑞兰寇', '杰克·莱西', '艾玛·汤普森', '米兰达·亨妮莎', '亚当·詹姆斯', '萨曼莎·罗素', '大卫·穆梅尼', '通恰伊·古奈什', '梶冈润一', '埃迪·奥康奈尔', '尼克·欧文福特', '马修·比尔德']",['憨豆特工3 Johnny English Strikes Again'],"['喜剧', '动作', '冒险']",['6.4'],['58465'],[' 英语']
20,[' 美国'],['布拉德·佩顿'],['2018'],['107'],"['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']",['狂暴巨兽 Rampage'],"['动作', '科幻', '冒险']",['6.4'],['116255'],[' 英语']
27,[' 美国 / 新西兰'],['克里斯蒂安·瑞沃斯'],['2018'],['128'],"['海拉·西尔玛', '雨果·维文', '金吉', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安佑森', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['掠食城市 Mortal Engines'],"['动作', '科幻', '冒险']",['6.4'],['39785'],[' 英语']
32,[' 美国'],['艾尔伯特·休斯'],['2018'],['96'],"['柯蒂·斯密特-麦菲', '恰克', '约翰内斯·豪克尔·约翰内森', '娜塔莎·迈尔兹', '蕾奥娜·维埃拉', '延斯·赫尔腾', '梅赛德斯·德拉泽尔达', '普里亚·拉贾拉特南', '斯潘塞·博加特', '帕特里克·弗拉纳根', '迈克尔·克鲁斯-代赫勒', '马辛·科瓦奇克']",['阿尔法：狼伴归途 Alpha'],"['剧情', '冒险']",['6.5'],['29211'],[' 英语']
29,[' 日本'],['今井一晓'],['2018'],['109'],"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '三石琴乃', '松本保典', '荻野志保子', '金元寿子', '山下大辉', '折笠富美子', '悠木碧', '大友龙三郎', '早见沙织', '胜杏里', '乃村健次', '鸟海胜美', '陶山章央', '龟井芳子', '一条和矢', '渡边宜嗣', '高桥茂雄', '长泽雅美', '大泉洋']",['哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島'],"['动画', '奇幻', '冒险']",['6.5'],['29106'],[' 日语']
5,[' 美国 / 南非 / 韩国 / 澳大利亚'],['瑞恩·库格勒'],['2018'],['134'],"['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼', '丹尼尔·卡卢亚', '利蒂希娅·赖特', '温斯顿·杜克', '斯特林·K·布朗', '安吉拉·贝塞特', '福里斯特·惠特克', '安迪·瑟金斯', '弗洛伦丝·卡松巴', '约翰·卡尼', '大卫·S·李', '娜比娅·毕']",['黑豹 Black Panther'],"['动作', '科幻', '冒险']",['6.5'],['331599'],[' 斯瓦希里语 / 英语 / 科萨语 / 韩语']
