地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['6825'],[' 英语']
[' 英国 / 美国'],['沃什·韦斯特摩兰'],['111'],"['01', '09']","['凯拉·奈特莉', '多米尼克·威斯特', '埃莉诺·汤姆林森', '费奥纳·肖', '丹妮斯·高夫', '艾莎·哈特', '丽贝卡·鲁特', '阿尔·韦弗', '卡罗琳·博尔顿', '雷·潘莎基', '珊农·塔伯特', '阿提拉·阿帕', '阿拉贝拉·韦尔', '羽田正义', '罗德里克·希尔', '贾尼娜·哈尼', '凯汀卡·埃格雷斯']",['柯莱特 Colette'],"['剧情', '传记', '历史']",['7.5'],['8436'],[' 英语']
[' 英国'],['大卫·马肯兹'],['121'],"['09', '11']","['克里斯·派恩', '斯蒂芬·迪兰', '亚伦·泰勒-约翰逊', '丽贝卡·罗宾', '比利·豪尔', '萨姆·斯普卢尔 ', '乔纳森·菲利普斯', '邓肯·拉克鲁瓦', '卡兰·马尔韦', '史蒂芬·克里', '托尼·库兰', '詹姆斯·卡沙莫', '阿拉斯塔尔·麦肯泽', '洛娜·麦克法迪', '弗洛伦斯·皮尤']",['法外之王 Outlaw King'],"['剧情', '动作', '传记', '历史']",['7.4'],['4811'],[' 英语']
[' 美国'],['安德鲁·海特'],['108'],['03'],"['吉姆·卡维泽', '詹姆斯·福克纳', '奥利维埃·马丁内斯', '琼妮·威利', '约翰·林奇', '桥格斯·卡拉米霍斯', '安东尼娅·坎贝尔-休斯', '亚历桑德罗·斯佩尔杜蒂', '曼努埃尔·考西', '诺亚·亨特雷', '杰·佩斯']","['使徒保罗 Paul, Apostle of Christ']","['剧情', '历史']",['7.3'],['830'],[' 英语']
[' 西班牙'],['玛·塔尔加纳'],['110'],['10'],"['马里奥·卡萨斯', '理查德·范·韦登', '阿兰·埃尔南德斯', '阿德里亚·萨拉查', '爱德华·布赫', '斯特凡·韦纳特', '弗兰克·费斯', '卢卡·佩洛斯', '玛卡蕾娜·戈麦斯', '丹尼斯·乌伊洛基', '玛丽安·科奇什']",['集中营里的摄影师 El fotógrafo de Mauthausen'],"['传记', '历史', '战争']",['7.2'],['659'],[' 西班牙语']
[' 英国'],['肯尼思·布拉纳'],['101'],['12'],"['肯尼思·布拉纳', '朱迪·丹奇', '伊恩·麦克莱恩', '洛丽塔·查卡巴蒂', '杰克·科尔格雷夫·赫斯特', '道格·科灵', '埃莉诺·德·罗汉', '菲尔·邓斯特']",['都是真的 All Is True'],"['剧情', '传记', '历史']",['7.2'],['204'],[' 英语']
[' 英国 / 美国'],['迈克·内威尔'],['124'],['04'],"['莉莉·詹姆斯', '米契尔·哈思曼', '格伦·鲍威尔', '马修·古迪', '杰西卡·布朗·芬德利', '汤姆·康特奈', '佩内洛普·威尔顿']",['根西岛文学与土豆皮馅饼俱乐部 The Guernsey Literary and Potato Peel Pie Society'],"['剧情', '爱情', '历史']",['7.2'],['4781'],[' 英语']
[' 美国 / 爱尔兰 / 法国 / 加拿大'],['Richard Lanni'],['84'],['04'],"['海伦娜·伯翰·卡特', '罗根·勒曼', '热拉尔·德帕迪约']",['斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero'],"['动画', '历史', '战争', '冒险']",['7.2'],['212'],[' 英语']
[' 韩国'],['张律'],['121'],"['10', '11']","['朴海日', '文素丽', '郑镇荣', '朴素丹']",['咏鹅 군산: 거위를 노래하다'],"['剧情', '爱情', '历史']",['7.1'],['2426'],[' 韩语 / 日语 / 汉语普通话']
[' 法国'],['洛朗·蒂拉尔'],['90'],['02'],"['让·杜雅尔丹', '梅拉尼·罗兰', '诺米·梅兰特', '费奥多尔·阿特金', '洛朗·巴图', '让-米歇尔·拉米', '埃弗琳·布尔']",['英雄归来 Le retour du héros'],"['喜剧', '历史']",['6.9'],['846'],[' 法语']
