,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
25,[' 日本'],"['静野孔文', '濑下宽之']",['2018'],['101'],"['宫野真守', '梶裕贵', '中井和哉', '樱井孝宏', '杉田智和', '三宅健太', '花泽香菜', '诹访部顺一', '小泽亚李', '山路和弘', '堀内贤雄']",['哥斯拉：决战之都 GODZILLA 決戦機動増殖都市'],"['动作', '科幻', '动画']",['6.7'],['4317'],[' 日语']
8,[' 美国 / 西班牙'],['胡安·安东尼奥·巴亚纳'],['2018'],['128'],"['克里斯·帕拉特', '布莱丝·达拉斯·霍华德', '贾斯蒂斯·史密斯', '伊莎贝拉·瑟蒙', '拉菲·斯波', '托比·琼斯', '泰德·拉文', '詹姆斯·克伦威尔', '黄荣亮', '丹妮艾拉·皮内达', '杰拉丁·卓别林', '杰夫·高布伦', '卡米尔·雷米泽斯基', '丹尼尔·斯蒂森', '皮特·杰森', '迈克尔·帕帕约翰', '罗伯特·埃姆斯', '罗南·萨莫尔斯', '麦克斯·贝克', '丹尼尔·厄根', '戴维·奥拉瓦莱·阿印德']",['侏罗纪世界2 Jurassic World: Fallen Kingdom'],"['动作', '科幻', '冒险']",['6.7'],['281042'],[' 英语']
16,[' 美国'],['朗·霍华德'],['2018'],['135'],"['阿尔登·埃伦瑞奇', '艾米莉亚·克拉克', '伍迪·哈里森', '唐纳德·格洛弗', '保罗·贝坦尼', '乔纳斯·索塔莫', '菲比·沃勒-布里奇', '沃维克·戴维斯', '坦迪·牛顿', '克林特·霍华德', '伊安·肯尼', '理查德·迪克森']",['游侠索罗：星球大战外传 Solo: A Star Wars Story'],"['动作', '科幻', '冒险']",['6.9'],['43678'],[' 英语']
18,[' 英国 / 美国'],['大卫·斯雷德'],['2018'],['90'],"['菲恩·怀特海德', '克雷格·帕金森', '爱丽丝·洛维', '阿西姆·乔杜里', '威尔·保尔特', '塔露拉·哈登', '卡特里奥·诺克斯', '保罗·布拉德利', '乔纳森·阿里斯', 'A·J·霍顿', '弗勒尔·基思', '劳拉·埃弗兰', '阿伦·阿萨德', '苏珊妮·伯登', '杰夫·明特', '乔恩-乔·英克彭', '汤姆·麦卡尔', '埃利·皮尔西', '斯蒂芬·拉什布鲁克', '罗森达·桑德尔', '桑德拉·特蕾丝']",['黑镜：潘达斯奈基 Black Mirror: Bandersnatch'],"['剧情', '科幻', '悬疑', '惊悚']",['6.9'],['54050'],[' 英语']
6,[' 美国 / 中国大陆'],['特拉维斯·奈特'],['2018'],['114'],"['海莉·斯坦菲尔德', '小豪尔赫·兰登伯格', '约翰·塞纳', '杰森·德鲁克', '帕梅拉·阿德龙', '斯蒂芬·施耐德', '里卡多·霍约斯', '约翰·奥提兹', '格林·特鲁曼', '兰·卡琉', '格蕾丝·达斯恩妮', '弗里德·杜莱尔', '蓝尼·雅各布森 ', '梅金·普莱斯', '萨钦·巴特', '蒂姆·马丁·格里森', '安东尼奥·查丽蒂', '艾德文·霍德吉', '拉斯·斯兰德', '迪伦·奥布莱恩', '彼特·库伦', '安吉拉·贝塞特', '贾斯汀·塞洛克斯', '大卫·索博洛夫', '格蕾·德丽斯勒', '史蒂夫·布卢姆', '安德鲁·莫尔加多', '威廉·W·巴伯', '罗伯特·切斯纳特', '米歇尔·方', '克里斯蒂安·哈切森', '里克·理查森', '瓦内萨·罗斯', '波士顿·拉什·弗里曼', '托尼·托斯特', '迪娜·特鲁迪', '艾蒂安·维克']",['大黄蜂 Bumblebee'],"['动作', '科幻', '冒险']",['7.0'],['263998'],[' 英语']
19,[' 美国'],['苏珊娜·比尔'],['2018'],['124'],"['桑德拉·布洛克', '崔凡特·罗兹', '约翰·马尔科维奇', '莎拉·保罗森', '杰基·韦佛', '罗莎·萨拉查', '丹妮尔·麦克唐纳', '里尔·莱尔·哈瓦瑞', '汤姆·霍兰德', '机关枪凯利', '黄荣亮', '普路特·泰勒·文斯', '维维恩·莱拉·布莱尔', '帕敏德·纳格拉', '丽贝卡·彼得根', '艾米·古麦尼克', '泰勒·汉德雷', '海皮·安德森', '大卫·达斯马齐连', '基思·雅各', '克里斯托弗洛根', '弗兰克·莫特克', '泰德·霍利斯', '麦特·伦纳德']",['蒙上你的眼 Bird Box'],"['剧情', '科幻', '惊悚']",['7.1'],['26213'],[' 英语']
10,[' 美国 / 英国'],['亚历克斯·嘉兰'],['2018'],['115'],"['娜塔莉·波特曼', '詹妮弗·杰森·李', '吉娜·罗德里格兹', '泰莎·汤普森', '奥斯卡·伊萨克', '水野索诺娅', '大卫·吉雅西', '图娃·诺沃妮', '本尼迪克特·王', '约翰·施瓦布', '萨米·海曼', '乔希·丹福德', '克里斯汀·麦加里蒂']",['湮灭 Annihilation'],"['剧情', '科幻', '惊悚']",['7.1'],['248807'],[' 英语']
0,[' 美国 / 中国大陆'],['鲁本·弗雷斯彻'],['2018'],['112'],"['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特', '珍妮·斯蕾特', '梅洛拉·沃尔特斯', '伍迪·哈里森', '佩吉·陆', '马尔科姆·C·默里', '索佩·阿卢科', '韦恩·佩雷', '米歇尔·李', '库尔特·岳', '克里斯·奥哈拉', '埃米里奥·瑞弗拉', '阿里亚当娜·约瑟夫', '袁之正', '朴云龙', '麦克·勃兰特', '尼克·图恩', '山姆·麦地那', '迪塞尔·马德金斯', '简·麦克尼尔', '维克托·麦凯', '马丁·巴特斯·布拉德福德', '布兰顿·莫拉莱斯', '马修·康威尔', '斯坦·李', '韦德·威廉姆斯', '约瑟夫·阿梅', '威廉·W·巴伯', '玛塞拉·布拉吉奥', '卡特·伯奇', '克里斯蒂安·康佛瑞', '詹姆斯·富尔特斯', '丹妮拉·加斯基', '约翰·盖蒂尔', '艾米丽塔·T·冈萨雷斯', '杰克·汉森', '安东尼·B·哈里斯', '卡茜·亨德利', '罗恩·彼得·琼斯', '霍梅洛·洛佩兹', '万恩·姆约维奇']",['毒液：致命守护者 Venom'],"['动作', '科幻', '惊悚']",['7.2'],['551133'],[' 英语 / 汉语普通话']
7,[' 美国'],['大卫·雷奇'],['2018'],['119'],"['瑞恩·雷诺兹', '乔什·布洛林', '朱利安·迪尼森', '斯蒂芬·卡皮契奇', '莎姬·贝兹', 'T·J·米勒', '莱斯利·格塞斯', '卡兰·索尼', '布里安娜·希德布兰德', '莫蕾娜·巴卡琳', '杰克·凯西', '埃迪·马森', '忽那汐里', '兰德尔·瑞德', '尼古莱·维切尔', '赛尔·哈里斯', '罗伯·德兰尼', '刘易斯·谭', '比尔·斯卡斯加德', '泰瑞·克鲁斯', '布拉德·皮特', '罗伯特·梅耶', '艾伦·图代克', '马特·达蒙', '海莉·塞尔斯', '麦克·多普德', '卢克·勒斯勒尔', '亨特·狄龙', '大卫·雷奇', '山姆·哈格雷夫', '尼古拉斯·霍尔特']",['死侍2：我爱我家 Deadpool 2'],"['喜剧', '动作', '科幻', '冒险']",['7.3'],['283502'],[' 英语']
4,[' 美国'],['佩顿·里德'],['2018'],['118'],"['保罗·路德', '伊万杰琳·莉莉', '迈克尔·佩纳', '汉娜·乔恩-卡门', '沃尔顿·戈金斯', '鲍比·坎纳瓦尔', '朱迪·格雷尔', 'T.I.', '大卫·达斯马齐连', '艾比·莱德·弗特森', '兰道尔·朴', '米歇尔·菲佛', '劳伦斯·菲什伯恩', '迈克尔·道格拉斯', '戈兰·卡斯蒂克', '罗布·阿切尔', '肖恩·克莱尔', '本·戴维斯', '迈克尔·瑟沃瑞斯', '达克斯·格里芬', '海莉·洛维特', '玛德琳·麦格劳', '蒂姆·海德克', '布莱恩·赫斯基', '朱莉娅·维拉', '布莱恩·卢戈', '托里·沃格尔', '汤姆·夏普林', '斯坦·李', '约瑟夫·阿梅', '安迪·阿尼斯', '威廉·W·巴伯', '玛塞拉·布拉吉奥', '塞尔吉奥·布里奥内斯', '乔·布卡罗三世', '蒂莫西·卡尔', '贾迈尔·钱伯斯', '扎卡里·卡伯森', '雅各布·埃文斯', '米歇尔·方', '盖尔·甘布尔', '克里斯·加恩', '约翰·盖蒂尔', '杰克·汉森', '卡茜·亨德利']",['蚁人2：黄蜂女现身 Ant-Man and the Wasp'],"['动作', '科幻', '冒险']",['7.3'],['344214'],[' 英语']
20,[' 美国'],"['杰克·卡斯托雷纳', '刘山姆']",['2018'],['81'],"['杰瑞·奥康奈尔', '丽贝卡·罗梅恩', '雷恩·威尔森', '罗莎里奥·道森', '内森·菲利安', '克里斯托弗·戈勒姆', '马特·兰特尔', '谢默·摩尔', '耐姆比·耐姆比', '杰森·奥玛拉', '乔纳森·亚当斯', '洛奇·卡罗尔', '特雷弗·德瓦', '保罗·伊丁', '帕特里克·法比安', '詹妮弗·黑尔', '马克斯·迈特尔曼', '托克斯·奥拉贡多耶']",['超人之死 The Death of Superman'],"['动作', '科幻', '动画']",['7.4'],['8490'],[' 英语']
17,[' 澳大利亚'],['雷·沃纳尔'],['2018'],['100'],"['罗根·马歇尔-格林', '梅拉里·沃列何', '哈里森·吉尔伯特森', '本尼迪克·哈迪', '克里斯托弗·卡比', '理查德·考索恩', '琳达·克罗珀', '贝蒂·加布里埃尔', '罗斯科·坎贝尔', '理查德·阿纳斯塔西奥斯', '史蒂夫·丹尼尔森', '迈克尔·M·福斯特', '雷纳·加拉赫', '克莱顿·雅各布森']",['升级 Upgrade'],"['动作', '科幻', '惊悚']",['8.1'],['86983'],[' 英语']
2,[' 美国'],"['安东尼·罗素', '乔·罗素']",['2018'],['149'],"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林', '佐伊·索尔达娜', '本尼迪克特·康伯巴奇', '克里斯·帕拉特', '汤姆·赫兰德', '伊丽莎白·奥尔森', '保罗·贝坦尼', '斯嘉丽·约翰逊', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '唐·钱德尔', '汤姆·希德勒斯顿', '安东尼·麦凯', '本尼迪克特·王', '戴夫·巴蒂斯塔', '布莱德利·库珀', '范·迪塞尔', '凯伦·吉兰', '利蒂希娅·赖特', '庞·克莱门捷夫', '凯莉·库恩', '汤姆-沃恩-劳勒', '海登·瓦尔希', '迈克尔·詹姆斯·肖', '泰瑞·诺塔里', '本尼西奥·德尔·托罗', '彼特·丁拉基', '罗斯·马昆德', '丹娜·奎里拉', '温斯顿·杜克', '弗洛伦丝·卡松巴', '塞缪尔·杰克逊', '雅各布·巴特朗', '斯坦·李']",['复仇者联盟3：无限战争 Avengers: Infinity War'],"['动作', '科幻', '奇幻', '冒险']",['8.1'],['588502'],[' 英语']
3,[' 美国'],"['鲍勃·佩尔西凯蒂', '彼得·拉姆齐', '罗德尼·罗斯曼']",['2018'],['116'],"['沙梅克·摩尔', '杰克·约翰逊', '海莉·斯坦菲尔德', '马赫沙拉·阿里', '布莱恩·泰里·亨利', '莉莉·汤姆林', '劳伦·维勒斯', '佐伊·克罗维兹', '约翰·木兰尼', '金可·格伦', '尼古拉斯·凯奇', '凯瑟琳·哈恩', '列维·施瑞博尔', '克里斯·派恩', '娜塔丽·莫瑞丝', '奥斯卡·伊萨克', '格里塔·李', '斯坦·李', '乔玛·塔科内', '华金·科西奥', '蕾克·贝尔', '梅勒妮·海恩斯', '尼克·杰恩', '穆尼卜·拉赫曼', '卡洛斯·萨拉戈萨', '黛西·罗斯·布莱内斯', '里夫·霍顿', '哈里森·奈特', '莱克斯·朗', '凯特琳·麦肯纳-威尔金森', '斯科特·门维尔', '克里斯托弗·米勒', '德维卡·帕利赫', '柯特妮·佩尔顿', '克里斯蒂·法瑞斯', '杰奎琳·皮诺尔', '贾斯汀·沉卡罗', '梅利莎·斯特姆']",['蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse'],"['动作', '科幻', '动画', '冒险']",['8.7'],['345048'],[' 英语 / 西班牙语']
1,[' 美国'],['史蒂文·斯皮尔伯格'],['2018'],['140'],"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",['头号玩家 Ready Player One'],"['动作', '科幻', '冒险']",['8.7'],['787865'],[' 英语 / 日语 / 汉语普通话']
21,[' 美国'],['拉娜·沃卓斯基'],['2018'],['151'],"['裴斗娜', '杰米·克莱顿', '蒂娜·德赛', '塔彭丝·米德尔顿', '马克思·雷迈特', '米格尔·安赫尔·西尔维斯特', '布莱恩·J·史密斯', '托比·奥伍梅尔', '弗莉玛·阿吉曼', '普拉布 科里', '阿方索·埃雷拉', '泰伦斯·曼', '达丽尔·汉纳', '纳威恩·安德利维斯', '奈斯鲍提斯塔', '斯蒂芬·鲍克思', '阿米拉·加扎拉', '约书亚·格罗斯', '埃伦迪拉·伊瓦拉', '雅丽·乔维尔', '西尔维斯特·迈可伊', 'Annie Munch', '埃文特·斯特朗', '马克斯·毛夫']",['超感猎杀：完结特别篇 Sense8 Finale Special'],"['剧情', '科幻', '同性']",['9.2'],['30745'],[' 英语']
